time,close
10,0.75432
20,0.75772
30,0.75099
40,0.74785
50,0.74593
60,0.74189
70,0.74533
80,0.74538
90,0.74168
100,0.73923
110,0.73498
120,0.73757
130,0.74506
140,0.73701
150,0.72426
160,0.71802
170,0.71233
180,0.71264
190,0.70965
200,0.706
210,0.70514
220,0.70949
230,0.72557
240,0.71125
250,0.70714
260,0.69471
270,0.69391
280,0.69362
290,0.68527
300,0.6937
310,0.69688
320,0.70297
330,0.69525
340,0.70466
350,0.70452
360,0.71067
370,0.71057
380,0.70876
390,0.70974
400,0.71582
410,0.71965
420,0.71773
430,0.7176
440,0.72663
450,0.72059
460,0.71938
470,0.72321
480,0.71906
490,0.70967
500,0.70412
510,0.69248
520,0.68718
530,0.7003
540,0.70465
550,0.69349
560,0.69533
570,0.69722
580,0.69258
590,0.68934
600,0.69411
610,0.69242
620,0.69043
630,0.68787
640,0.69035
650,0.6815
660,0.68656
670,0.67963
680,0.67941
