time,close
1.0,0.73215
2.0,0.73365
3.0,0.73417
4.0,0.72137
5.0,0.71417
6.0,0.72329
7.0,0.71621
8.0,0.71758
9.0,0.72125
10.0,0.7261
11.0,0.72818
12.0,0.72453
13.0,0.72913
14.0,0.72498
15.0,0.72601
16.0,0.72184
17.0,0.72851
18.0,0.72008
19.0,0.7331
20.0,0.73909
21.0,0.74563
22.0,0.73934
23.0,0.74295
24.0,0.74726
25.0,0.75273
26.0,0.75669
27.0,0.76558
28.0,0.77524
29.0,0.75893
30.0,0.75214
31.0,0.76436
32.0,0.77209
33.0,0.74402
34.0,0.74325
35.0,0.74437
36.0,0.74309
