time,close
1.0,1.13574
2.0,1.13728
3.0,1.13616
4.0,1.13225
5.0,1.13091
6.0,1.1325
7.0,1.13047
8.0,1.11932
9.0,1.12711
10.0,1.12189
11.0,1.1123
12.0,1.11196
13.0,1.10654
14.0,1.09281
15.0,1.08536
16.0,1.08962
17.0,1.10752
18.0,1.09883
19.0,1.09124
20.0,1.09398
21.0,1.09534
22.0,1.10343
23.0,1.10906
24.0,1.10508
25.0,1.10166
26.0,1.10289
27.0,1.1006
28.0,1.09964
29.0,1.09828
30.0,1.09859
31.0,1.10859
32.0,1.11576
33.0,1.10658
34.0,1.10478
35.0,1.09709
36.0,1.09049
37.0,1.08958
38.0,1.08798
39.0,1.08753
40.0,1.08834
41.0,1.0826
42.0,1.08915
43.0,1.08292
44.0,1.08125
45.0,1.07805
46.0,1.07886
47.0,1.08542
48.0,1.08316
49.0,1.07956
50.0,1.0711
51.0,1.06369
52.0,1.05581
53.0,1.04979
54.0,1.05421
55.0,1.05071
56.0,1.05192
57.0,1.06168
58.0,1.05381
59.0,1.05447
60.0,1.0558
61.0,1.05298
62.0,1.05121
63.0,1.03777
64.0,1.04059
65.0,1.04337
66.0,1.05497
67.0,1.0461
68.0,1.05825
69.0,1.05573
70.0,1.06912
71.0,1.07355
72.0,1.06778
73.0,1.07288
74.0,1.07342
75.0,1.07794
76.0,1.07335
77.0,1.06522
78.0,1.07495
79.0,1.07177
80.0,1.06947
81.0,1.07057
82.0,1.07164
83.0,1.06188
84.0,1.05151
85.0,1.04083
86.0,1.0417
87.0,1.04461
88.0,1.0552
89.0,1.04931
90.0,1.05106
91.0,1.0535
92.0,1.05686
93.0,1.05209
94.0,1.05495
95.0,1.05808
96.0,1.05211
97.0,1.04398
98.0,1.04825
99.0,1.04265
100.0,1.04215
101.0,1.0263
102.0,1.02272
