time,close
10,156.029
20,156.331
30,155.801
40,154.533
50,154.865
60,154.29
70,153.106
80,154.849
90,154.123
100,151.879
110,151.079
120,151.521
130,152.761
140,151.933
150,152.879
160,153.641
170,154.257
180,156.116
190,155.93
200,156.983
210,157.317
220,160.194
230,159.949
240,161.354
250,160.889
260,162.225
270,160.889
280,160.01
290,159.923
300,160.652
310,161.006
320,161.558
330,161.765
340,162.07
350,161.984
360,163.35
370,163.032
380,164.795
390,164.636
400,165.054
410,165.212
420,167.541
430,167.113
440,167.235
450,164.874
460,163.249
470,159.953
480,161.086
490,163.027
500,163.246
510,162.592
520,162.583
530,163.087
540,160.804
550,160.987
560,160.667
570,160.622
580,159.149
590,156.49
600,158.458
610,159.052
620,161.576
630,158.263
640,159.389
650,159.772
660,160.957
670,158.965
680,160.093
690,160.201
700,160.495
710,161.425
720,162.2
730,162.475
740,163.342
750,163.336
760,165.229
770,166.983
780,168.285
790,167.908
800,165.451
810,163.125
820,162.481
830,162.891
840,163.279
850,164.862
860,165.406
870,167.78
880,167.026
890,165.455
900,165.904
910,166.159
920,165.886
930,165.562
940,165.283
950,163.573
960,164.188
970,162.445
980,161.992
990,163.483
1000,163.067
