time,close
1.0,1.33245
2.0,1.34043
3.0,1.33484
4.0,1.32311
5.0,1.31036
6.0,1.30994
7.0,1.31855
8.0,1.30833
9.0,1.30378
10.0,1.30006
11.0,1.3041
12.0,1.31464
13.0,1.31491
14.0,1.3177
15.0,1.31677
16.0,1.3262
17.0,1.32046
18.0,1.31868
19.0,1.31807
20.0,1.3094
21.0,1.30933
22.0,1.3135
23.0,1.31427
24.0,1.31132
25.0,1.31149
26.0,1.30717
27.0,1.3068
28.0,1.30733
29.0,1.30356
30.0,1.30278
31.0,1.3001
32.0,1.3116
33.0,1.30791
34.0,1.30582
35.0,1.301
36.0,1.29985
37.0,1.30681
38.0,1.30265
39.0,1.28324
40.0,1.27411
41.0,1.25744
42.0,1.25452
43.0,1.24588
44.0,1.25727
45.0,1.24897
46.0,1.24942
47.0,1.26352
48.0,1.23535
49.0,1.23316
50.0,1.23298
51.0,1.23162
52.0,1.22458
53.0,1.2194
54.0,1.22589
55.0,1.23204
56.0,1.24913
57.0,1.23461
58.0,1.24713
59.0,1.24903
60.0,1.25862
61.0,1.25313
62.0,1.25791
63.0,1.26079
64.0,1.26269
65.0,1.26541
66.0,1.26037
67.0,1.24848
68.0,1.25773
69.0,1.24867
70.0,1.25286
71.0,1.25894
72.0,1.25358
73.0,1.24953
74.0,1.23111
75.0,1.21336
76.0,1.19967
77.0,1.21718
78.0,1.23509
79.0,1.2219
80.0,1.22463
81.0,1.22788
82.0,1.2261
83.0,1.22606
84.0,1.22742
85.0,1.22653
86.0,1.21834
87.0,1.21205
88.0,1.21786
89.0,1.20965
90.0,1.21017
91.0,1.19552
92.0,1.19428
